pt,score,server,prior_prob,live_prob,prior_odds,live_odds,gap
1,0-0 0-0 0-0,Jannik Sinner,0.62325,0.62316,1.604,1.605,-9e-05
2,0-0 0-0 0-15,Jannik Sinner,0.60746,0.54311,1.646,1.841,-0.06435
3,0-0 0-0 15-15,Jannik Sinner,0.621,0.59691,1.61,1.675,-0.02409
4,0-0 0-0 15-30,Jannik Sinner,0.60111,0.51322,1.664,1.948,-0.08788
5,0-0 0-0 30-30,Jannik Sinner,0.61863,0.57082,1.616,1.752,-0.0478
6,0-0 0-0 30-40,Jannik Sinner,0.59079,0.48027,1.693,2.082,-0.11052
7,0-0 0-0 40-40,Jannik Sinner,0.61863,0.54737,1.616,1.827,-0.07126
8,0-0 0-0 AD-40,Jannik Sinner,0.63651,0.60434,1.571,1.655,-0.03218
9,0-0 0-0 40-40,Jannik Sinner,0.61863,0.52497,1.616,1.905,-0.09366
10,0-0 0-0 AD-40,Jannik Sinner,0.63651,0.58204,1.571,1.718,-0.05448
11,0-0 0-0 40-40,Jannik Sinner,0.61863,0.50243,1.616,1.99,-0.11619
12,0-0 0-0 40-AD,Jannik Sinner,0.59079,0.4154,1.693,2.407,-0.17539
13,0-0 0-0 40-40,Jannik Sinner,0.61863,0.48112,1.616,2.078,-0.1375
14,0-0 0-0 40-AD,Jannik Sinner,0.59079,0.39596,1.693,2.526,-0.19483
15,0-0 0-0 40-40,Jannik Sinner,0.61863,0.46046,1.616,2.172,-0.15816
16,0-0 0-0 AD-40,Jannik Sinner,0.63651,0.5173,1.571,1.933,-0.11921
17,0-0 1-0 0-0,Carlos Alcaraz,0.648,0.56669,1.543,1.765,-0.08131
18,0-0 1-0 0-15,Carlos Alcaraz,0.66301,0.64586,1.508,1.548,-0.01715
19,0-0 1-0 15-15,Carlos Alcaraz,0.64982,0.5916,1.539,1.69,-0.05823
20,0-0 1-0 15-30,Carlos Alcaraz,0.66842,0.67135,1.496,1.49,0.00292
21,0-0 1-0 30-30,Carlos Alcaraz,0.65171,0.61547,1.534,1.625,-0.03623
22,0-0 1-0 30-40,Carlos Alcaraz,0.67732,0.69851,1.476,1.432,0.02119
23,0-0 1-0 40-40,Carlos Alcaraz,0.65171,0.63589,1.534,1.573,-0.01581
24,0-0 1-0 AD-40,Carlos Alcaraz,0.63386,0.57836,1.578,1.729,-0.0555
25,0-0 1-1 0-0,Jannik Sinner,0.62143,0.52615,1.609,1.901,-0.09528
26,0-0 1-1 15-0,Jannik Sinner,0.63267,0.57411,1.581,1.742,-0.05857
27,0-0 1-1 15-15,Jannik Sinner,0.61892,0.5035,1.616,1.986,-0.11543
28,0-0 1-1 15-30,Jannik Sinner,0.59687,0.42552,1.675,2.35,-0.17136
29,0-0 1-1 15-40,Jannik Sinner,0.56665,0.34576,1.765,2.892,-0.22089
30,0-0 1-1 30-40,Jannik Sinner,0.58544,0.39618,1.708,2.524,-0.18926
31,0-0 1-1 40-40,Jannik Sinner,0.6163,0.4612,1.623,2.168,-0.15509
32,0-0 1-1 AD-40,Jannik Sinner,0.63612,0.51748,1.572,1.932,-0.11865
33,0-0 2-1 0-0,Carlos Alcaraz,0.64886,0.56562,1.541,1.768,-0.08325
34,0-0 2-1 0-15,Carlos Alcaraz,0.66546,0.64195,1.503,1.558,-0.02351
35,0-0 2-1 0-30,Carlos Alcaraz,0.6864,0.71547,1.457,1.398,0.02908
36,0-0 2-1 15-30,Carlos Alcaraz,0.67145,0.66671,1.489,1.5,-0.00475
37,0-0 2-1 30-30,Carlos Alcaraz,0.65296,0.61175,1.531,1.635,-0.04121
38,0-0 2-1 40-30,Carlos Alcaraz,0.63321,0.55406,1.579,1.805,-0.07916
39,0-0 2-2 0-0,Jannik Sinner,0.61946,0.50313,1.614,1.988,-0.11633
40,0-0 2-2 15-0,Jannik Sinner,0.63223,0.54976,1.582,1.819,-0.08247
41,0-0 2-2 15-15,Jannik Sinner,0.61662,0.48113,1.622,2.078,-0.13549
42,0-0 2-2 30-15,Jannik Sinner,0.63271,0.53135,1.581,1.882,-0.10136
43,0-0 2-2 30-30,Jannik Sinner,0.61363,0.45983,1.63,2.175,-0.15381
44,0-0 2-2 30-40,Jannik Sinner,0.57858,0.37581,1.728,2.661,-0.20278
45,0-0 2-2 40-40,Jannik Sinner,0.61363,0.44126,1.63,2.266,-0.17238
46,0-0 2-2 40-AD,Jannik Sinner,0.57858,0.35936,1.728,2.783,-0.21923
47,0-0 2-3 0-0,Carlos Alcaraz,0.52403,0.27222,1.908,3.674,-0.25181
48,0-0 2-3 0-15,Carlos Alcaraz,0.54522,0.3415,1.834,2.928,-0.20371
49,0-0 2-3 0-30,Carlos Alcaraz,0.57194,0.41975,1.748,2.382,-0.15218
50,0-0 2-3 15-30,Carlos Alcaraz,0.55286,0.36672,1.809,2.727,-0.18615
51,0-0 2-3 30-30,Carlos Alcaraz,0.52926,0.31244,1.889,3.201,-0.21682
52,0-0 2-3 30-40,Carlos Alcaraz,0.56543,0.3967,1.769,2.521,-0.16873
53,0-0 3-3 0-0,Jannik Sinner,0.61736,0.49626,1.62,2.015,-0.1211
